imdb_id,title,genre,imdb_rating,votes,year
tt0903747,breaking bad,"Crime, Drama, Thriller",9.5,2227775,2008
tt5491994,planet earth ii,Documentary,9.5,161487,2016
tt0185906,band of brothers,"Drama, History, War",9.4,543933,2001
tt0795176,planet earth,"Documentary, Family",9.4,223004,2006
tt5152226,tree of life,Drama,9.4,12203,2014
tt7366338,chernobyl,"Drama, History, Thriller",9.3,903380,2019
tt0306414,the wire,"Crime, Drama, Thriller",9.3,389400,2002
tt0417299,avatar: the last airbender,"Action, Adventure, Animation",9.3,388010,2005
tt30263074,sapne vs everyone,Drama,9.3,71004,2023
tt6769208,blue planet ii,Documentary,9.3,48246,2017
tt0081846,cosmos,Documentary,9.3,45233,1980
tt7678620,bluey,"Animation, Family",9.3,32572,2018
tt9002164,bb ki vines,Comedy,9.3,11260,2015
tt0944947,game of thrones,"Action, Adventure, Drama",9.2,2360459,2011
tt0141842,the sopranos,"Crime, Drama",9.2,495922,1999
tt14392248,aspirants,Drama,9.2,313590,2021
tt12392504,scam 1992: the harshad mehta story,"Biography, Crime, Drama",9.2,160313,2020
tt2395695,cosmos: a spacetime odyssey,Documentary,9.2,130725,2014
tt9253866,our planet,Documentary,9.2,53141,2019
tt9471404,the chosen,"Drama, History",9.2,50900,2017
tt4202274,the filthy frank show,"Comedy, Short",9.2,33570,2011
tt0071075,the world at war,"Documentary, History, War",9.2,30505,1973
tt9861270,çilgin dersane at the university,Comedy,9.2,12169,2014
tt1475582,sherlock,"Crime, Drama, Mystery",9.1,1022704,2010
tt2861424,rick and morty,"Adventure, Animation, Comedy",9.1,625004,2013
tt2560140,attack on titan,"Action, Adventure, Animation",9.1,556893,2013
tt1355642,fullmetal alchemist: brotherhood,"Action, Adventure, Animation",9.1,207352,2009
tt8420184,the last dance,"Biography, Documentary, History",9.1,158608,2020
tt1831164,leyla and mecnun,"Adventure, Comedy, Drama",9.1,97276,2011
tt28227737,sandeep bhaiya,Drama,9.1,75859,2023
tt4742876,tvf pitchers,"Comedy, Drama",9.1,73321,2015
tt1533395,life,Documentary,9.1,43373,2009
tt1877514,the vietnam war,"Documentary, History, War",9.1,28863,2017
tt10530900,gullak,"Comedy, Drama, Family",9.1,24378,2019
tt9471962,halka,"Action, Crime, Drama",9.1,18400,2019
tt7450814,koombiyo,"Crime, Drama, Thriller",9.1,18032,2017
tt4834232,critical role,"Adventure, Fantasy",9.1,13504,2015
tt13854248,the legend of hanuman,"Action, Adventure, Animation",9.1,12865,2021
tt7923710,my mister,"Drama, Family",9.1,10484,2018
tt0386676,the office,Comedy,9.0,743325,2005
tt3032476,better call saul,"Crime, Drama",9.0,686761,2015
tt11126994,arcane,"Action, Adventure, Animation",9.0,293207,2021
tt0388629,one piece,"Action, Adventure, Animation",9.0,266385,1999
tt2098220,hunter x hunter,"Action, Adventure, Animation",9.0,147167,2011
tt0103359,batman: the animated series,"Action, Adventure, Animation",9.0,121445,1992
tt12004706,panchayat,"Comedy, Drama",9.0,97931,2020
tt0052520,the twilight zone,"Drama, Fantasy, Horror",9.0,96277,1959
tt9432978,kota factory,"Comedy, Drama",9.0,85475,2019
tt10541088,clarkson's farm,"Comedy, Documentary, Reality-TV",9.0,65583,2021
tt0081912,only fools and horses,Comedy,9.0,57925,1981
tt7920978,persona,"Crime, Drama, Mystery",9.0,48686,2018
tt14986406,bleach: thousand-year blood war,"Action, Adventure, Animation",9.0,45048,2022
tt21279678,ncr days,Drama,9.0,43915,2022
tt0296310,the blue planet,Documentary,9.0,43449,2001
tt2092588,frozen planet,Documentary,9.0,33521,2011
tt1806234,human planet,Documentary,9.0,28110,2011
tt8595766,yeh meri family,"Comedy, Drama, Family",9.0,26274,2018
tt0268093,ramayan,"Adventure, Drama, Family",9.0,24676,1987
tt13675832,as if,Comedy,9.0,24546,2021
tt4934214,taskmaster,"Comedy, Game-Show",9.0,21427,2015
tt0098769,the civil war,"Documentary, History, War",9.0,19124,1990
tt1508238,apocalypse: the second world war,"Documentary, History, War",9.0,14673,2009
tt5182866,reply 1988,"Comedy, Drama, Family",9.0,13322,2015
tt3212600,mahabharat,"Drama, History, War",9.0,12213,2013
tt0108778,friends,"Comedy, Romance",8.9,1114859,1994
tt2356777,true detective,"Crime, Drama, Mystery",8.9,675356,2014
tt2802850,fargo,"Crime, Drama, Thriller",8.9,432128,2014
tt0877057,death note,"Animation, Crime, Drama",8.9,398783,2006
tt0098904,seinfeld,Comedy,8.9,359638,1989
tt0303461,firefly,"Adventure, Drama, Sci-Fi",8.9,285560,2002
tt1865718,gravity falls,"Adventure, Animation, Comedy",8.9,145526,2012
tt0213338,cowboy bebop,"Action, Adventure, Animation",8.9,145300,1998
tt0200276,the west wing,Drama,8.9,87953,1999
tt2297757,nathan for you,"Comedy, Documentary",8.9,40253,2013
tt9735318,the beatles: get back,"Biography, Documentary, Music",8.9,29340,2021
tt0092337,dekalog,Drama,8.9,28493,1989
tt1909015,undercover,"Action, Crime, Drama",8.9,27842,2011
tt22248376,frieren: beyond journey's end,"Adventure, Animation, Drama",8.9,25688,2023
tt0158417,mahabharat,"Action, Adventure, Drama",8.9,24011,1988
tt13868972,rocket boys,"Drama, History",8.9,18485,2022
tt1518542,sarabhai v/s sarabhai,Comedy,8.9,18452,2004
tt2571774,africa,Documentary,8.9,17396,2013
tt5851616,tash ma tash,"Comedy, Drama",8.9,10725,1992
tt11992526,harga,Drama,8.9,10017,2021
tt10986410,ted lasso,"Comedy, Drama, Sport",8.8,371459,2020
tt7660850,succession,"Comedy, Drama",8.8,293697,2018
tt0472954,it's always sunny in philadelphia,Comedy,8.8,258227,2005
tt0098936,twin peaks,"Crime, Drama, Mystery",8.8,220765,1990
tt3398228,bojack horseman,"Animation, Comedy, Drama",8.8,198578,2014
tt0193676,freaks and geeks,"Comedy, Drama",8.8,155759,1999
tt0214341,dragon ball z,"Action, Adventure, Animation",8.8,153703,1996
tt0264235,curb your enthusiasm,Comedy,8.8,151688,2000
tt7137906,when they see us,"Biography, Crime, Drama",8.8,142156,2019
tt14650074,dhindora,"Comedy, Drama",8.8,123109,2021
tt0072500,fawlty towers,Comedy,8.8,101783,1975
tt3530232,last week tonight with john oliver,"Comedy, News, Talk-Show",8.8,97283,2014
tt0112130,pride and prejudice,"Drama, Romance",8.8,94265,1995
tt0121220,dragon ball z,"Action, Adventure, Animation",8.8,90661,1989
tt10233448,vinland saga,"Action, Adventure, Animation",8.8,83886,2019
tt0063929,monty python's flying circus,Comedy,8.8,79835,1969
tt1910272,steins;gate,"Animation, Comedy, Drama",8.8,77385,2011
tt3718778,over the garden wall,"Adventure, Animation, Comedy",8.8,75321,2014
tt0353049,chappelle's show,"Comedy, Music",8.8,73250,2003
tt0096548,blackadder goes forth,"Comedy, War",8.8,57818,1989
tt15435876,the penguin,"Crime, Drama",8.8,54147,2024
tt16026746,x-men '97,"Action, Adventure, Animation",8.8,37178,2024
